Orignal article #	Authors	Title	Journal	Year	Division	Bryophyte Type	Symbiont Type	Symbiont Code
349	Hrouzek, Pavel; Lukesova, Alena; Mares, Jan; Ventura, Stefano	Description of the cyanobacterial genus Desmonostoc gen. nov. including D. muscorum comb. nov. as a distinct, phylogenetically coherent taxon related to the genus Nostoc	FOTTEA	2013	Unknown Bryophyta	Moss	Diazotrophs	Diazotrophs
350	Hu, Hai-Tao; Liu, Xiao-Yu; Zhang, Peng-Liang; Gao, Hui-Min; Zhang, Long-Teng; Shen, Tao; Ren, Dong-Mei; Lou, Hong-Xiang; Wang, Xiao-Ning	Novel secondary metabolites from the endobryophytic fungus Botrysphaeria laricina and their biological activity	FITOTERAPIA	2020	Bryophyta	Moss	Other Fungi	Other Fungi
354	Huhtinen, Seppo; Laukka, Tomi; Doebbeler, Peter; Stenroos, Soili	Six novelties to European bryosymbiotic discomycetes	NOVA HEDWIGIA	2010	Marchantiophyta, Bryophyta	Mix	Other Fungi	Other Fungi
355	Humphreys, Claire P.; Franks, Peter J.; Rees, Mark; Bidartondo, Martin I.; Leake, Jonathan R.; Beerling, David J.	Mutualistic mycorrhiza-like symbiosis in the most ancient group of land plants	NATURE COMMUNICATIONS	2010	Marchantiophyta	Liverwort	Mucoromycota	Mucoromycota
356	Hwang, Hoseong; Kwon, Hak Cheol; Kwon, Jaeyoung	Chemical Constituents Isolated from the Moss-derived Fungus Talaromyces sp.	JOURNAL OF THE KOREAN MAGNETIC RESONANCE SOCIETY	2020	Bryophyta	Moss	Other Fungi	Other Fungi
363	Jackson, Owen; Taylor, Oliver; Adams, David G.; Knox, J. Paul	Arabinogalactan Proteins Occur in the Free-Living Cyanobacterium Genus Nostoc and in Plant-Nostoc Symbioses	MOLECULAR PLANT-MICROBE INTERACTIONS	2012	Marchantiophyta	Liverwort	Diazotrophs	Diazotrophs
370	Jassey, Vincent E. J.; Chiapusio, Genevieve; Binet, Philippe; Buttler, Alexandre; Laggoun-Defarge, Fatima; Delarue, Frederic; Bernard, Nadine; Mitchell, Edward A. D.; Toussaint, Marie-Laure; Francez, Andre-Jean; Gilbert, Daniel	Above- and belowground linkages in Sphagnum peatland: climate warming affects plant-microbial interactions	GLOBAL CHANGE BIOLOGY	2013	Bryophyta	Moss	Mix	Other Fungi, Other Prokaryotes, Protists
372	Jassey, Vincent E. J.; Signarbieux, Constant; Haettenschwiler, Stephan; Bragazza, Luca; Buttler, Alexandre; Delarue, Frederic; Fournier, Bertrand; Gilbert, Daniel; Laggoun-Defarge, Fatima; Lara, Enrique; Mills, Robert T. E.; Mitchell, Edward A. D.; Payne, Richard J.; Robroek, Bjorn J. M.	An unexpected role for mixotrophs in the response of peatland carbon cycling to climate warming	SCIENTIFIC REPORTS	2015	Bryophyta	Moss	Mix	Other Fungi, Diazotrophs, Other Prokaryotes, Protists
373	Jean, Melanie; Holland-Moritz, Hannah; Melvin, April M.; Johnstone, Jill F.; Mack, Michelle C.	Experimental assessment of tree canopy and leaf litter controls on the microbiome and nitrogen fixation rates of two boreal mosses	NEW PHYTOLOGIST	2020	Bryophyta	Moss	Diazotrophs	Diazotrophs
376	Jiao, Yang; Zhang, Xin; Wang, Lei; Li, Gang; Zhou, Jin-Chuan; Lou, Hong-Xiang	Metabolites from Penicillium sp., an endophytic fungus from the liverwort Riccardia multifida (L.) S. Gray	PHYTOCHEMISTRY LETTERS	2013	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
380	Joseph, C M; Meeks, J C	Regulation of expression of glutamine synthetase in a symbiotic Nostoc strain associated with Anthoceros punctatus.	Journal of bacteriology	1987	Anthocerotophyta	Hornwort	Diazotrophs	Diazotrophs
384	Jumpponen, A; Newsham, KK; Neises, DJ	Filamentous ascomycetes inhabiting the rhizoid environment of the liverwort Cephaloziella varians in Antarctica are assessed by direct PCR and cloning	MYCOLOGIA	2003	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
392	Kamel, Laurent; Tang, Nianwu; Malbreil, Mathilde; San Clemente, Helene; Le Marquer, Morgane; Roux, Christophe; Frey, Nicolas Frei Dit	The Comparison of Expressed Candidate Secreted Proteins from Two Arbuscular Mycorrhizal Fungi Unravels Common and Specific Molecular Tools to Invade Different Host Plants	FRONTIERS IN PLANT SCIENCE	2017	Marchantiophyta	Liverwort	Mucoromycota	Mucoromycota
393	Kanaparthi, Dheeraj; Reim, Andreas; Martinson, Guntars O.; Pommerenke, Bianca; Conrad, Ralf	Methane emission from feather moss stands	GLOBAL CHANGE BIOLOGY	2017	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
396	KASHYAP, AK; PANDEY, KD; GUPTA, RK	NITROGENASE ACTIVITY OF THE ANTARCTIC CYANOBACTERIUM NOSTOC-COMMUNE - INFLUENCE OF TEMPERATURE	FOLIA MICROBIOLOGICA	1991	Bryophyta	Moss	Diazotrophs	Diazotrophs
397	Kauserud, Havard; Mathiesen, Cecilie; Ohlson, Mikael	High diversity of fungi associated with living parts of boreal forest bryophytes	BOTANY	2008	Bryophyta	Moss	Other Fungi	Other Fungi
414	Kip, Nardy; Dutilh, Bas E.; Pan, Yao; Bodrossy, Levente; Neveling, Kornelia; Kwint, Michael P.; Jetten, Mike S. M.; den Camp, Huub J. M. Op	Ultra-deep pyrosequencing of pmoA amplicons confirms the prevalence of Methylomonas and Methylocystis in Sphagnum mosses from a Dutch peat bog	ENVIRONMENTAL MICROBIOLOGY REPORTS	2011	Bryophyta	Moss	Methylotrophs	Methylotrophs
415	Kip, Nardy; Ouyang, Wenjing; van Winden, Julia; Raghoebarsing, Ashna; van Niftrik, Laura; Pol, Arjan; Pan, Yao; Bodrossy, Levente; van Donselaar, Elly G.; Reichart, Gert-Jan; Jetten, Mike S. M.; Damste, Jaap S. Sinninghe; den Camp, Huub J. M. Op	Detection, Isolation, and Characterization of Acidophilic Methanotrophs from Sphagnum Mosses	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2011	Bryophyta	Moss	Methylotrophs	Methylotrophs
416	Kip, Nardy; van Winden, Julia F.; Pan, Yao; Bodrossy, Levente; Reichart, Gert-Jan; Smolders, Alfons J. P.; Jetten, Mike S. M.; Damste, Jaap S. Sinninghe; Op den Camp, Huub J. M.	Global prevalence of methane oxidation by symbiotic bacteria in peat-moss ecosystems	NATURE GEOSCIENCE	2010	Bryophyta	Moss	Methylotrophs	Methylotrophs
419	Knack, J. J.; Wilcox, L. W.; Delaux, P. -M.; Ane, J. -M.; Piotrowski, M. J.; Cook, M. E.; Graham, J. M.; Graham, L. E.	MICROBIOMES OF STREPTOPHYTE ALGAE AND BRYOPHYTES SUGGEST THAT A FUNCTIONAL SUITE OF MICROBIOTA FOSTERED PLANT COLONIZATION OF LAND	INTERNATIONAL JOURNAL OF PLANT SCIENCES	2015	Marchantiophyta	Liverwort	Other Prokaryotes	Other Prokaryotes
420	Knight, CD; Adams, DG	A method for studying chemotaxis in nitrogen fixing cyanobacterium-plant symbioses	PHYSIOLOGICAL AND MOLECULAR PLANT PATHOLOGY	1996	Marchantiophyta	Liverwort	Diazotrophs	Diazotrophs
422	Kobae, Yoshihiro; Ohtomo, Ryo; Morimoto, Sho; Sato, Daiki; Nakagawa, Tomomi; Oka, Norikuni; Sato, Shusei	Isolation of Native Arbuscular Mycorrhizal Fungi within Young Thalli of the Liverwort Marchantia paleacea	PLANTS-BASEL	2019	Marchantiophyta	Liverwort	Mucoromycota	Mucoromycota
431	Korotkin, Hailee B.; Swenie, Rachel A.; Miettinen, Otto; Budke, Jessica M.; Chen, Ko-Hsuan; Lutzoni, Francois; Smith, Matthew E.; Matheny, P. Brandon	Stable isotope analyses reveal previously unknown trophic mode diversity in the Hymenochaetales	AMERICAN JOURNAL OF BOTANY	2018	Marchantiophyta, Bryophyta	Mix	Other Fungi	Other Fungi
440	Kottke, I; Beiter, A; Weiss, M; Haug, I; Oberwinkler, F; Nebel, M	Heterobasidiomycetes form symbiotic associations with hepatics: Jungermanniales have sebacinoid mycobionts while Aneura pinguis (Metzgeriales) is associated with a Tulasnella species	MYCOLOGICAL RESEARCH	2003	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
442	Kottke, Ingrid; Haug, Ingeborg; Setaro, Sabrina; Pablo Suarez, Juan; Weiss, Michael; Preussing, Markus; Nebel, Martin; Oberwinkler, Franz	Guilds of mycorrhizal fungi and their relation to trees, ericads, orchids and liverworts in a neotropical mountain rain forest	BASIC AND APPLIED ECOLOGY	2008	Marchantiophyta	Liverwort	Mix	Mucoromycota, Other Fungi
443	Koua, Faisal Hammad Mekky; Kimbara, Kazuhide; Tani, Akio	Bacterial-biota dynamics of eight bryophyte species from different ecosystems	SAUDI JOURNAL OF BIOLOGICAL SCIENCES	2015	Bryophyta, Marchantiophyta	Mix	Other Prokaryotes	Other Prokaryotes
444	Kowal, Jill; Pressel, Silvia; Duckett, Jeffrey G.; Bidartondo, Martin I.	Liverworts to the rescue: an investigation of their efficacy as mycorrhizal inoculum for vascular plants	FUNCTIONAL ECOLOGY	2016	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
445	Kowal, Jill; Pressel, Silvia; Duckett, Jeffrey G.; Bidartondo, Martin I.; Field, Katie J.	From rhizoids to roots? Experimental evidence of mutualism between liverworts and ascomycete fungi	ANNALS OF BOTANY	2018	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
447	Kox, M. A. R.; Kop, L. F. M.; van den Elzen, E.; van Alen, T. A.; Lamers, L. P. M.; van Kessel, M. A. H. J.; Jetten, M. S. M.	Functional redundancy of the methane-oxidising and nitrogen-fixing microbial community associated with Sphagnum fallax and Sphagnum palustre in two Dutch fens	MIRES AND PEAT	2020	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
448	Kox, Martine A. R.; Aalto, Sanni L.; Penttila, Timo; Ettwig, Katharina F.; Jetten, Mike S. M.; van Kessel, Maartje A. H. J.	The influence of oxygen and methane on nitrogen fixation in subarctic Sphagnum mosses	AMB EXPRESS	2018	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
450	Krause, Cornelia; Garnica, Sigisfredo; Bauer, Robert; Nebel, Martin	Aneuraceae (Metzgeriales) and tulasnelloid fungi (Basidiomycota) - a model for early steps in fungal symbiosis	FUNGAL BIOLOGY	2011	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
457	Kusari, Parijat; Kusari, Souvik; Spiteller, Michael; Kayser, Oliver	Biocontrol potential of endophytes harbored in Radula marginata (liverwort) from the New Zealand ecosystem	ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY	2014	Marchantiophyta	Liverwort	Mix	Other Fungi, Other Prokaryotes
459	Kutschera, U.; Thomas, J.; Hornschuh, M.	Cluster formation in liverwort-associated methylobacteria and its implications	NATURWISSENSCHAFTEN	2007	Marchantiophyta	Liverwort	Methylotrophs	Methylotrophs
468	Lan, Xiaojun; Zhou, Heng; Yao, Tuo; Dong, Wanqing; Zhang, Jiangui; Han, Dongrong	Community structure and function of cultivable Endophytic Bacteria isolated from four Moss species in Qilian Mountain	SYMBIOSIS	2020	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
470	Larmola, Tuula; Tuittila, Eeva-Stiina; Tiirola, Marja; Nykanen, Hannu; Martikainen, Pertti J.; Yrjala, Kim; Tuomivirta, Tero; Fritze, Hannu	The role of Sphagnum mosses in the methane cycling of a boreal mire	ECOLOGY	2010	Bryophyta	Moss	Methylotrophs	Methylotrophs
479	LEIZEROVICH, I; KARDISH, N; GALUN, M	COMPARISON BETWEEN 8 SYMBIOTIC, CULTURED NOSTOC ISOLATES AND A FREE-LIVING NOSTOC BY RECOMBINANT-DNA	SYMBIOSIS	1990	Anthocerotophyta, Marchantiophyta	Mix	Diazotrophs	Diazotrophs
481	Leppanen, Sanna M.; Salemaa, Maija; Smolander, Aino; Makipaa, Raisa; Tiirola, Marja	Nitrogen fixation and methanotrophy in forest mosses along a N deposition gradient	ENVIRONMENTAL AND EXPERIMENTAL BOTANY	2013	Bryophyta	Moss	Diazotrophs	Diazotrophs
483	Li, Chuang; Jin, Pinjiao; Liu, Chongxi; Ma, Zhaoxu; Zhao, Junwei; Li, Jiansong; Wang, Xiangjing; Xiang, Wensheng	Streptomyces bryophytorum sp nov., an endophytic actinomycete isolated from moss (Bryophyta)	ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY	2016	Unknown	Unknown	Other Prokaryotes	Other Prokaryotes
484	Li, Chuang; Wang, Haiyan; Jin, Pinjiao; Zheng, Weijia; Chu, Liyang; Liu, Chongxi; Li, Jiansong; Xiang, Wensheng; Wang, Xiangjing	Actinoallomurus bryophytorum sp nov., an endophytic actinomycete isolated from moss (Bryophyta)	ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY	2015	Unknown	Unknown	Other Prokaryotes	Other Prokaryotes
485	Li, Chuang; Zhang, Yuejing; Liu, Chongxi; Wang, Haiyan; Zhao, Junwei; Li, Lianjie; Zhang, Zhongwen; Wang, Xiangjing; Xiang, Wensheng	Microbispora bryophytorum sp nov., an actinomycete isolated from moss (Bryophyta)	INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY	2015	Unknown	Unknown	Other Prokaryotes	Other Prokaryotes
486	Li, Fay-Wei; Nishiyama, Tomoaki; Waller, Manuel; Frangedakis, Eftychios; Keller, Jean; Li, Zheng; Fernandez-Pozo, Noe; Barker, Michael S.; Bennett, Tom; Blazquez, Miguel A.; Cheng, Shifeng; Cuming, Andrew C.; de Vries, Jan; de Vries, Sophie; Delaux, Pierre-Marc; Diop, Issa S.; Harrison, C. Jill; Hauser, Duncan; Hernandez-Garcia, Jorge; Kirbis, Alexander; Meeks, John C.; Monte, Isabel; Mutte, Sumanth K.; Neubauer, Anna; Quandt, Dietmar; Robison, Tanner; Shimamura, Masaki; Rensing, Stefan A.; Carlos Villarreal, Juan; Weijers, Dolf; Wicke, Susann; Wong, Gane K-S; Sakakibara, Keiko; Szoevenyi, Peter	Anthoceros genomes illuminate the origin of land plants and the unique biology of hornworts	NATURE PLANTS	2020	Anthocerotophyta	Hornwort	Diazotrophs	Diazotrophs
489	Li, Xiao-Bin; Xie, Fei; Liu, Shan-Shan; Li, Ying; Zhou, Jin-Chuan; Liu, Yong-Qing; Yuan, Hui-Qing; Lou, Hong-Xiang	Naphtho-gamma-pyrones from Endophyte Aspergillus niger Occurring in the Liverwort Heteroscyphus tener (STEPH.) SCHIFFN.	CHEMISTRY & BIODIVERSITY	2013	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
491	Liaimer, Anton; Helfrich, Eric J. N.; Hinrichs, Katrin; Guljamow, Arthur; Ishida, Keishi; Hertweck, Christian; Dittmann, Elke	Nostopeptolide plays a governing role during cellular differentiation of the symbiotic cyanobacterium Nostoc punctiforme	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2015	Marchantiophyta	Liverwort	Diazotrophs	Diazotrophs
492	Liaimer, Anton; Jensen, John B.; Dittmann, Elke	A Genetic and Chemical Perspective on Symbiotic Recruitment of Cyanobacteria of the Genus Nostoc into the Host Plant Blasia pusilla L.	FRONTIERS IN MICROBIOLOGY	2016	Marchantiophyta	Liverwort	Diazotrophs	Diazotrophs
494	Liebner, Susanne; Zeyer, Josef; Wagner, Dirk; Schubert, Carsten; Pfeiffer, Eva-Maria; Knoblauch, Christian	Methane oxidation associated with submerged brown mosses reduces methane emissions from Siberian polygonal tundra	JOURNAL OF ECOLOGY	2011	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
495	LIGRONE, R	ULTRASTRUCTURE OF A FUNGAL ENDOPHYTE IN PHAEOCEROS-LAEVIS (L) PROSK (ANTHOCEROTOPHYTA)	BOTANICAL GAZETTE	1988	Anthocerotophyta	Hornwort	Other Fungi	Other Fungi
496	LIGRONE, R; LOPES, C	CYTOLOGY AND DEVELOPMENT OF A MYCORRHIZA-LIKE INFECTION IN THE GAMETOPHYTE OF CONOCEPHALUM-CONICUM (L) DUM (MARCHANTIALES, HEPATOPHYTA)	NEW PHYTOLOGIST	1989	Marchantiophyta	Liverwort	Mucoromycota	Mucoromycota
498	Ligrone, Roberto; Carafa, Anna; Lumini, Erica; Bianciotto, Valeria; Bonfante, Paola; Duckett, Jeffrey G.	Glomeromycotean associations in liverworts: A molecular cellular and taxonomic analysis	AMERICAN JOURNAL OF BOTANY	2007	Marchantiophyta	Liverwort	Mix	Mucoromycota, Other Fungi
505	Lindo, Zoe; Whiteley, Jonathan A.	Old trees contribute bio-available nitrogen through canopy bryophytes	PLANT AND SOIL	2011	Bryophyta	Moss	Diazotrophs	Diazotrophs
506	LINE, MA	NITROGEN-FIXATION IN THE SUB-ANTARCTIC MACQUARIE ISLAND	POLAR BIOLOGY	1992	Bryophyta, Marchantiophyta	Mix	Other Prokaryotes	Other Prokaryotes
511	Liu, Xiao Lei; Liu, Su Lin; Liu, Min; Kong, Bi He; Liu, Lei; Li, Yan Hong	A primary assessment of the endophytic bacterial community in a xerophilous moss (Grimmia montana) using molecular method and cultivated isolates	BRAZILIAN JOURNAL OF MICROBIOLOGY	2014	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
514	Lizonova, Zuzana; Zhai, Marie; Bojkova, Jindriska; Horsak, Michal	Small-scale Variation of Testate Amoeba Assemblages: the Effect of Site Heterogeneity and Empty Shell Inclusion	MICROBIAL ECOLOGY	2019	Bryophyta	Moss	Protists	Protists
517	Lutzoni, F; Pagel, M	Accelerated evolution as a consequence of transitions to mutualism	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	1997	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
518	Lyons, Caitlyn L.; Lindo, Zoe	Above- and belowground community linkages in boreal peatlands	PLANT ECOLOGY	2020	Bryophyta	Moss	Mix	Other Prokaryotes, Other Fungi
531	Marks, Rose A.; Smith, Jeramiah J.; Cronk, Quentin; McLetchie, D. Nicholas	Variation in the bacteriome of the tropical liverwort, Marchantia inflexa, between the sexes and across habitats	SYMBIOSIS	2018	Marchantiophyta	Liverwort	Other Prokaryotes	Other Prokaryotes
539	Meeks, J C; Enderlin, C S; Joseph, C M; Chapman, J S; Lollar, M W	Fixation of [(13)N]N 2 and transfer of fixed nitrogen in the Anthoceros-Nostoc symbiotic association.	Planta	1985	Anthocerotophyta	Hornwort	Diazotrophs	Diazotrophs
540	Meeks, J C; Enderlin, C S; Wycoff, K L; Chapman, J S; Joseph, C M	Assimilation of (13)NH 4 (+) by Anthoceros grown with and without symbiotic Nostoc.	Planta	1983	Anthocerotophyta	Hornwort	Diazotrophs	Diazotrophs
544	MEEKS, JC; JOSEPH, CM; HASELKORN, R	ORGANIZATION OF THE NIF GENES IN CYANOBACTERIA IN SYMBIOTIC ASSOCIATION WITH AZOLLA AND ANTHOCEROS	ARCHIVES OF MICROBIOLOGY	1988	Anthocerotophyta	Hornwort	Diazotrophs	Diazotrophs
548	Melo, Itamar S.; Santos, Suikinai N.; Rosa, Luiz H.; Parma, Marcia M.; Silva, Leonardo J.; Queiroz, Sonia C. N.; Pellizari, Vivian H.	Isolation and biological activities of an endophytic Mortierella alpina strain from the Antarctic moss Schistidium antarctici	EXTREMOPHILES	2014	Bryophyta	Moss	Mucoromycota	Mucoromycota
551	Meyer, C.; Bernard, N.; Moskura, M.; Toussaint, M. L.; Denayer, F.; Gilbert, D.	Effects of urban particulate deposition on microbial communities living in bryophytes: An experimental study	ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY	2010	Bryophyta	Moss	Mix	Other Fungi, Other Prokaryotes, Protists
552	Meyer, Caroline; Gilbert, Daniel; Gaudry, Andre; Franchi, Marielle; Nguyen-Viet, Hung; Fabure, Juliette; Bernard, Nadine	Relationship of Atmospheric Pollution Characterized by Gas (NO2) and Particles (PM10) to Microbial Communities Living in Bryophytes at Three Differently Polluted Sites (Rural, Urban, and Industrial)	MICROBIAL ECOLOGY	2010	Bryophyta	Moss	Mix	Other Fungi, Other Prokaryotes, Protists
557	Mitchell, EAD; Borcard, D; Buttler, AJ; Grosvernier, P; Gilbert, D; Gobat, JM	Horizontal distribution patterns of testate amoebae (Protozoa) in a Sphagnum magellanicum carpet	MICROBIAL ECOLOGY	2000	Bryophyta	Moss	Protists	Protists
558	Mitchell, EAD; Gilbert, D; Buttler, A; Amblard, C; Grosvernier, P; Gobat, JM	Structure of microbial communities in Sphagnum peatlands and effect of atmospheric carbon dioxide enrichment	MICROBIAL ECOLOGY	2003	Bryophyta	Moss	Mix	Other Fungi, Other Prokaryotes, Protists
570	Mueller, Christina A.; Oberauner-Wappis, Lisa; Peyman, Armin; Amos, Gregory C. A.; Wellington, Elizabeth M. H.; Berg, Gabriele	Mining for Nonribosomal Peptide Synthetase and Polyketide Synthase Genes Revealed a High Level of Diversity in the Sphagnum Bog Metagenome	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2015	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
577	NADARAJAH, P; NAWAWI, A	MYCORRHIZAL STATUS OF EPIPHYTES IN MALAYSIAN OIL PALM PLANTATIONS	MYCORRHIZA	1993	Bryophyta	Moss	Mucoromycota	Mucoromycota
579	Nakai, Ryosuke; Abe, Takashi; Baba, Tomoya; Imura, Satoshi; Kagoshima, Hiroshi; Kanda, Hiroshi; Kohara, Yuji; Koi, Akiko; Niki, Hironori; Yanagihara, Katsuhiko; Naganuma, Takeshi	Eukaryotic phylotypes in aquatic moss pillars inhabiting a freshwater lake in East Antarctica, based on 18S rRNA gene analysis	POLAR BIOLOGY	2012	Bryophyta	Moss	Mix	Other Fungi, Protists
587	Nelson, Jessica M.; Hauser, Duncan A.; Gudino, Joee A.; Guadalupe, Yessenia A.; Meeks, John C.; Salazar Allen, Noris; Carlos Villarreal, Juan; Li, Fay-Wei	Complete Genomes of Symbiotic Cyanobacteria Clarify the Evolution of Vanadium-Nitrogenase	GENOME BIOLOGY AND EVOLUTION	2019	Marchantiophyta, Anthocerotophyta	Mix	Diazotrophs	Diazotrophs
588	Nelson, Jessica M.; Hauser, Duncan A.; Hinson, Rosemary; Shaw, A. Jonathan	A novel experimental system using the liverwort Marchantia polymorpha and its fungal endophytes reveals diverse and context-dependent effects	NEW PHYTOLOGIST	2018	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
589	Nelson, Jessica; Shaw, A. Jonathan	Exploring the natural microbiome of the model liverwort: fungal endophyte diversity in Marchantia polymorpha L	SYMBIOSIS	2019	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
592	Newsham, K. K.; Goodall-Copestake, W. P.; Ochyra, R.; Vana, J.	Mycothalli of the hepatic Barbilophozia hatcheri in Antarctica: distribution and identities of mycobionts	FUNGAL ECOLOGY	2014	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
594	Newsham, Kevin K.	Structural changes to a mycothallus along a latitudinal transect through the maritime and sub-Antarctic	MYCORRHIZA	2011	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
597	Nguyen-Viet, H.; Gilbert, D.; Mitchell, E. A. D.; Badot, P.-M.; Bernard, N.	Effects of experimental lead pollution on the microbial communities associated with Sphagnum fallax (Bryophyta)	MICROBIAL ECOLOGY	2007	Bryophyta	Moss	Mix	Other Fungi, Other Prokaryotes, Protists
602	Nilsson, M; Rasmussen, U; Bergman, B	Cyanobacterial chemotaxis to extracts of host and nonhost plants	FEMS MICROBIOLOGY ECOLOGY	2006	Marchantiophyta	Liverwort	Diazotrophs	Diazotrophs
605	Nobre, Camila Pinheiro; Tavares Huertas, Orlando Carlos; Figueira Tardin, Jose Rogerio; Saggin Junior, Orivaldo Jose; Apolonia Coutinho Fonseca, Henrique Manoel; Louro Berbara, Ricardo Luis	Biostimulation of inoculation with Glomus proliferum and application of humic acid in the in vitro growth of Lunularia cruciata	ACTA BOTANICA BRASILICA	2013	Marchantiophyta	Liverwort	Mucoromycota	Mucoromycota
610	Obermeier, Melanie Maria; Wicaksono, Wisnu Adi; Taffner, Julian; Bergna, Alessandro; Poehlein, Anja; Cernava, Tomislav; Lindstaedt, Stefanie; Lovric, Mario; Mueller Bogota, Christina Andrea; Berg, Gabriele	Plant resistome profiling in evolutionary old bog vegetation provides new clues to understand emergence of multi-resistance	ISME JOURNAL	2021	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
617	Opelt, Katja; Chobot, Vladimir; Hadacek, Franz; Schoenmann, Susan; Eberl, Leo; Berg, Gabriele	Investigations of the structure and function of bacterial communities associated with Sphagnum mosses	ENVIRONMENTAL MICROBIOLOGY	2007	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
621	Page, Kathleen A.; Flannery, Meghan K.	Microbial Epiphytes of Deep-Water Moss in Crater Lake, Oregon	NORTHWEST SCIENCE	2018	Bryophyta	Moss	Mix	Other Fungi, Other Prokaryotes, Protists
622	PANDEY, KD; KASHYAP, AK; GUPTA, RK	NITROGEN-FIXATION BY CYANOBACTERIA ASSOCIATED WITH MOSS COMMUNITIES IN SCHIRMACHER-OASIS, ANTARCTICA	ISRAEL JOURNAL OF BOTANY	1992	Bryophyta	Moss	Diazotrophs	Diazotrophs
625	Papaefthimiou, Dimitra; Hrouzek, Pavel; Mugnai, Maria Angela; Lukesova, Alena; Turicchia, Silvia; Rasmussen, Ulla; Ventura, Stefano	Differential patterns of evolution and distribution of the symbiotic behaviour in nostocacean cyanobacteria	INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY	2008	Anthocerotophyta	Hornwort	Diazotrophs	Diazotrophs
627	Park, Mira; Lee, Hyoungseok; Hong, Soon Gyu; Kim, Ok-Sun	Endophytic bacterial diversity of an Antarctic moss, Sanionia uncinata	ANTARCTIC SCIENCE	2013	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
628	Parmentier, F. J. W.; van Huissteden, J.; Kip, N.; den Camp, H. J. M. Op; Jetten, M. S. M.; Maximov, T. C.; Dolman, A. J.	The role of endophytic methane-oxidizing bacteria in submerged Sphagnum in determining methane emissions of Northeastern Siberian tundra	BIOGEOSCIENCES	2011	Bryophyta	Moss	Methylotrophs	Methylotrophs
633	Peng, Wei; Guo, Lei; Jiang, Yi-Ping; Han, Ting; Qin, Lu-Ping	Chemical constituents of the endophytic fungus Xylaria sp isolated from the liverwort Scapania verrucosa	CHEMISTRY OF NATURAL COMPOUNDS	2013	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
634	Peng, Wei; Guo, Lei; Zheng, Cheng-Jian; Zhang, Qiao-Yan; Jia, Min; Jiang, Yi-Ping; Han, Ting; Qin, Lu-Ping	Two new azaphilone alkaloids dimers from endophyte Chaetomium fusiforme of the liverwort Scapania verrucosa Heeg.	BIOCHEMICAL SYSTEMATICS AND ECOLOGY	2012	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
636	Perez, Cecilia A.; Thomas, Frank M.; Silva, Wladimir A.; Aguilera, Rodrigo; Armesto, Juan J.	Biological nitrogen fixation in a post-volcanic chronosequence from south-central Chile	BIOGEOCHEMISTRY	2017	Bryophyta	Moss	Diazotrophs	Diazotrophs
664	Pressel, S; Duckett, JG	The parasitic ascomycete Mniaecia jungermanniae induces the formation of giant perichaetia and apogamous sporophytes in leafy liverworts	CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE	2006	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
