Orignal article #	Authors	Title	Journal	Year	Division	Bryophyte Type	Symbiont Type	Symbiont Code
955	Yang, Hu; Liu, Xiao-Yu; Zhang, Peng-Liang; Gao, Hui-Min; Zhang, Long-Teng; Shen, Tao; Ren, Dong-Mei; Lou, Hong-Xiang; Wang, Xiao-Ning	New terpenoids and triketides from culture of the fungus Botrysphaeria laricina	FITOTERAPIA	2020	Bryophyta	Moss	Other Fungi	Other Fungi
969	Yu, Nan Hee; Kim, Jung A.; Jeong, Min-Hye; Cheong, Yong Hwa; Hong, Soon Gyu; Jung, Jae Sung; Koh, Young Jin; Hur, Jae-Seoun	Diversity of endophytic fungi associated with bryophyte in the maritime Antarctic (King George Island)	POLAR BIOLOGY	2014	Bryophyta, Marchantiophyta	Mix	Other Fungi	Other Fungi
976	Zeng, P. Y.; Wu, J. G.; Liao, L. M.; Chen, T. -Q.; Wu, J. Z.; Wong, K. -H.	In vitro antioxidant activities of endophytic fungi isolated from the liverwort Scapania verrucosa	GENETICS AND MOLECULAR RESEARCH	2011	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
981	Zhang, Peng-Liang; Han, Yang; Zhang, Long-Teng; Wang, Xiao-Ling; Shen, Tao; Ren, Dongmei; Lou, Hongxiang; Wang, Xiao-Ning	Botrysphones A-C and Botrysphins A-F, Triketides and Diterpenoids from the Fungus Botrysphaeria laricina	JOURNAL OF NATURAL PRODUCTS	2017	Bryophyta	Moss	Other Fungi	Other Fungi
983	Zhang, Tao; Xiang, Hai-Bo; Zhang, Yu-Qin; Liu, Hong-Yu; Wei, Yu-Zhen; Zhao, Li-Xun; Yu, Li-Yan	Molecular analysis of fungal diversity associated with three bryophyte species in the Fildes Region, King George Island, maritime Antarctica	EXTREMOPHILES	2013	Marchantiophyta, Bryophyta	Mix	Other Fungi	Other Fungi
984	Zhang, Tao; Zhang, Yu-Qin; Liu, Hong-Yu; Wei, Yu-Zhen; Li, Hai-Long; Su, Jing; Zhao, Li-Xun; Yu, Li-Yan	Diversity and cold adaptation of culturable endophytic fungi from bryophytes in the Fildes Region, King George Island, maritime Antarctica	FEMS MICROBIOLOGY LETTERS	2013	Marchantiophyta, Bryophyta	Mix	Other Fungi	Other Fungi
986	Zhang, Xiu-juan; Feng, Jia; Wang, Gui-hua; Xie, Shu-lian	A morphological and phylogenetic study of a filamentous cyanobacterium, Microcoleus vaginatus, associated with the moss Mnium cuspidatum	SYMBIOSIS	2014	Bryophyta	Moss	Diazotrophs	Diazotrophs
987	Zhang, Ying; Guo, Liang-Dong	Arbuscular mycorrhizal structure and fungi associated with mosses	MYCORRHIZA	2007	Bryophyta, Marchantiophyta	Mix	Mucoromycota	Mucoromycota
995	Zhuang, Xiaoxin; Gao, Congting; Peng, Chenghui; Wang, Zhiyan; Zhao, Junwei; Shen, Yue; Liu, Chongxi	Characterization of a Novel Endophytic Actinomycete, Streptomyces physcomitrii sp. nov., and Its Biocontrol Potential Against Ralstonia solanacearum on Tomato	MICROORGANISMS	2020	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
996	Zhuang, Xiaoxin; Peng, Chenghui; Wang, Zhiyan; Zhao, Junwei; Shen, Yue; Liu, Chongxi; Xiang, Wensheng	Actinomadura physcomitrii sp. nov., a novel actinomycete isolated from moss [Physcomitrium sphaericum (Ludw) Fuernr]	ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY	2020	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
1002	Zhang, Tao; Wang, Nengfei; Yu, Liyan	Host-specificity of moss-associated fungal communities in the Ny-angstrom lesund region (Svalbard, High Arctic) as revealed by amplicon pyrosequencing	FUNGAL ECOLOGY	2021	Bryophyta	Moss	Other Fungi	Other Fungi
1004	Klarenberg, Ingeborg J.; Keuschnig, Christoph; Colmenares, Ana J. Russi; Warshan, Denis; Jungblut, Anne D.; Jonsdottir, Ingibjorg S.; Vilhelmsson, Oddur	Long-term warming effects on the microbiome and nifH gene abundance of a common moss species in sub-Arctic tundra	NEW PHYTOLOGIST	2021	Bryophyta	Moss	Other Prokaryotes	Other Prokaryotes
1011	Qin, Yangmin; Puppe, Daniel; Zhang, Lihua; Sun, Rui; Li, Pengde; Xie, Shucheng	How Does Sphagnum Growing Affect Testate Amoeba Communities and Corresponding Protozoic Si Pools? Results from Field Analyses in SW China	MICROBIAL ECOLOGY	2021	Bryophyta	Moss	Protists	Protists
1026	Carrell, Alyssa A.; Velickovic, Dusan; Lawrence, Travis J.; Bowen, Benjamin P.; Louie, Katherine B.; Carper, Dana L.; Chu, Rosalie K.; Mitchell, Hugh D.; Orr, Galya; Markillie, Lye Meng; Jawdy, Sara S.; Grimwood, Jane; Shaw, A. Jonathan; Schmutz, Jeremy; Northen, Trent R.; Anderton, Christopher R.; Pelletier, Dale A.; Weston, David J.	Novel metabolic interactions and environmental conditions mediate the boreal peatmoss-cyanobacteria mutualism	ISME JOURNAL	2021	Bryophyta	Moss	Diazotrophs	Diazotrophs
1029	Newsham, Kevin K.; Goodall-Copestake, William P.	Liverworts frequently form mycothalli on Spitsbergen in the High Arctic	POLAR RESEARCH	2021	Marchantiophyta	Liverwort	Other Fungi	Other Fungi
1042	Nelson, Jessica M.; Hauser, Duncan A.; Li, Fay-Wei	The diversity and community structure of symbiotic cyanobacteria in hornworts inferred from long-read amplicon sequencing	AMERICAN JOURNAL OF BOTANY	2021	Anthocerotophyta	Hornwort	Diazotrophs	Diazotrophs
1046	Walden, Susanne; Jauss, Robin-Tobias; Feng, Kai; Fiore-Donno, Anna Maria; Dumack, Kenneth; Schaffer, Stefan; Wolf, Ronny; Schlegel, Martin; Bonkowski, Michael	On the phenology of protists: recurrent patterns reveal seasonal variation of protistan (Rhizaria: Cercozoa and Endomyxa) communities in tree canopies	FEMS MICROBIOLOGY ECOLOGY	2021	Bryophyta	Moss	Protists	Protists
2000	Basinka et al.	Experimental warming and precipitation reduction affect the biomass of microbial communities in a Sphagnum peatland	Ecological Indicators	2020	Bryophyta	Moss	Mix	Diazotrophs, Other fungi, Protists
